;acc;recall;precision;f1_score;specificity
0;0.5377643504531722;0.7048192771084337;0.5294117647058824;0.6046511627906977;0.7048192771084337
1;0.513595166163142;0.6445783132530121;0.5119617224880383;0.5706666666666668;0.6445783132530121
2;0.47129909365558914;0.5963855421686747;0.4782608695652174;0.5308310991957105;0.5963855421686747
3;0.5045317220543807;0.5542168674698795;0.5054945054945055;0.5287356321839081;0.5542168674698795
4;0.486404833836858;0.572289156626506;0.4896907216494845;0.5277777777777777;0.572289156626506
5;0.486404833836858;0.5783132530120482;0.4897959183673469;0.5303867403314917;0.5783132530120482
6;0.4984894259818731;0.5662650602409639;0.5;0.5310734463276837;0.5662650602409639
7;0.5015105740181269;0.536144578313253;0.5028248587570622;0.5189504373177842;0.536144578313253
8;0.5075528700906344;0.536144578313253;0.5085714285714286;0.5219941348973608;0.536144578313253
9;0.48942598187311176;0.5301204819277109;0.49162011173184356;0.5101449275362319;0.5301204819277109
10;0.4773413897280967;0.5180722891566265;0.48044692737430167;0.49855072463768113;0.5180722891566265
11;0.5015105740181269;0.6024096385542169;0.5025125628140703;0.547945205479452;0.6024096385542169
12;0.5105740181268882;0.5843373493975904;0.5105263157894737;0.5449438202247191;0.5843373493975904
13;0.5226586102719033;0.5843373493975904;0.521505376344086;0.5511363636363636;0.5843373493975904
14;0.5015105740181269;0.5602409638554217;0.5027027027027027;0.5299145299145298;0.5602409638554217
15;0.4954682779456193;0.5542168674698795;0.4972972972972973;0.5242165242165242;0.5542168674698795
16;0.5045317220543807;0.5481927710843374;0.5055555555555555;0.5260115606936416;0.5481927710843374
17;0.5105740181268882;0.5542168674698795;0.5111111111111111;0.5317919075144509;0.5542168674698795
18;0.5045317220543807;0.5301204819277109;0.5057471264367817;0.5176470588235293;0.5301204819277109
19;0.525679758308157;0.5662650602409639;0.5251396648044693;0.5449275362318841;0.5662650602409639
20;0.48338368580060426;0.4939759036144578;0.48520710059171596;0.48955223880597015;0.4939759036144578
21;0.4954682779456193;0.5662650602409639;0.4973544973544973;0.5295774647887325;0.5662650602409639
22;0.49244712990936557;0.536144578313253;0.49444444444444446;0.514450867052023;0.536144578313253
23;0.5015105740181269;0.5301204819277109;0.5028571428571429;0.5161290322580645;0.5301204819277109
24;0.5015105740181269;0.5240963855421686;0.5028901734104047;0.5132743362831858;0.5240963855421686
25;0.49244712990936557;0.5301204819277109;0.4943820224719101;0.5116279069767442;0.5301204819277109
26;0.48942598187311176;0.5240963855421686;0.4915254237288136;0.5072886297376095;0.5240963855421686
27;0.49244712990936557;0.4939759036144578;0.4939759036144578;0.4939759036144578;0.4939759036144578
28;0.48942598187311176;0.5301204819277109;0.49162011173184356;0.5101449275362319;0.5301204819277109
29;0.486404833836858;0.5240963855421686;0.4887640449438202;0.505813953488372;0.5240963855421686
