0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
30	1	21	3	10	13	6	16	22	9	46	11	14	5	38	23	7	17	18	43	60	2	8	15	52	25	4	12	28	29	0	31	32	63	48	50	36	55	27	39	40	56	54	61	47	62	26	44	34	49	35	59	24	53	42	37	41	57	58	51	20	19	45	33
30	1	21	3	10	13	6	16	22	9	46	11	14	5	38	23	7	17	18	43	60	2	8	15	52	39	4	12	28	29	0	31	32	63	48	50	36	55	27	25	40	56	54	61	47	62	26	44	34	49	35	59	24	53	42	37	41	57	58	51	20	19	45	33
30	1	21	3	10	13	6	16	22	9	46	11	14	5	38	23	7	17	18	43	60	2	8	15	52	39	4	12	28	29	0	31	32	63	48	50	36	55	27	25	40	56	54	61	47	62	26	44	34	49	35	59	24	53	42	37	41	57	58	51	20	19	45	33
30	1	21	3	10	13	6	16	22	9	46	11	14	5	38	23	7	17	18	43	60	2	8	58	52	39	4	12	28	29	0	31	32	63	48	50	36	55	27	25	40	56	54	61	47	62	26	44	34	49	35	59	24	53	42	37	41	57	15	51	20	19	45	33
30	1	21	3	10	13	6	16	22	9	46	11	14	5	38	23	7	17	18	43	60	2	8	58	52	39	4	12	28	29	0	31	32	63	48	50	36	55	27	25	40	56	54	61	47	62	26	44	34	35	49	59	24	53	42	37	41	57	15	51	20	19	45	33
30	1	21	3	10	13	6	16	22	9	46	11	14	5	38	23	7	17	18	43	60	2	8	58	52	39	4	12	28	36	0	31	32	63	48	50	29	55	27	25	40	56	54	61	47	62	26	44	34	35	49	59	24	53	42	37	41	57	15	51	20	19	45	33
30	1	21	3	10	13	6	16	22	9	46	11	14	5	38	23	7	17	8	43	60	2	18	58	52	39	4	12	28	36	0	31	32	63	48	50	29	55	27	25	40	56	54	61	47	62	26	44	34	35	49	59	24	53	42	37	41	57	15	51	20	19	45	33
30	1	21	3	10	13	6	16	22	9	46	11	14	5	38	23	7	60	8	43	17	2	18	58	52	39	4	12	28	36	0	31	32	63	48	50	29	55	27	25	40	56	54	61	47	62	26	44	34	35	49	59	24	53	42	37	41	57	15	51	20	19	45	33
30	1	21	9	10	13	6	16	22	3	46	11	14	5	38	23	7	60	8	43	17	2	18	58	52	39	4	12	28	36	0	31	32	63	48	50	29	55	27	25	40	56	54	61	47	62	26	44	34	35	49	59	24	53	42	37	41	57	15	51	20	19	45	33
30	1	21	9	10	13	6	16	22	3	46	11	14	5	38	23	7	60	8	43	17	2	18	31	52	39	4	12	28	36	0	58	32	63	48	50	29	55	27	25	40	56	54	61	47	62	26	44	34	35	49	59	24	53	42	37	41	57	15	51	20	19	45	33
30	1	21	9	10	13	6	16	22	3	46	11	14	5	38	23	7	60	8	43	17	2	18	31	52	39	4	12	28	36	0	58	32	63	48	50	29	55	27	25	40	56	54	61	47	62	26	44	34	35	49	59	24	53	42	57	41	37	15	51	20	19	45	33
30	1	21	9	10	13	6	16	22	3	46	11	14	5	38	23	7	60	8	43	17	2	18	31	52	39	4	12	28	36	0	58	32	63	48	50	29	55	27	25	41	56	54	61	47	62	26	44	34	35	49	59	24	53	42	57	40	37	15	51	20	19	45	33
30	1	21	9	10	11	6	16	22	3	46	13	14	5	38	23	7	60	8	43	17	2	18	31	52	39	4	12	28	36	0	58	32	63	48	50	29	55	27	25	41	56	54	61	47	62	26	44	34	35	49	59	24	53	42	57	40	37	15	51	20	19	45	33
30	1	21	9	10	11	6	16	22	3	46	13	14	5	38	23	7	60	8	43	17	2	18	31	52	39	4	12	24	36	0	58	32	63	48	50	29	55	27	25	41	56	54	61	47	62	26	44	34	35	49	59	28	53	42	57	40	37	15	51	20	19	45	33
