error	run_time
1315143656.0	0.0
1265310062.0	0.003506898880004883
1214786385.0	0.006512165069580078
1177483493.0	0.00954580307006836
1151947814.0	0.013508081436157227
1124946891.0	0.016541481018066406
1094802374.0	0.019535064697265625
1076164426.0	0.02353954315185547
1067394586.0	0.02653336524963379
1008504132.0	0.030263185501098633
994568259.0	0.034264326095581055
973483883.0	0.03777909278869629
940299191.0	0.0417783260345459
927877552.0	0.044777631759643555
913111986.0	0.04877829551696777
892191032.0	0.05178093910217285
871673280.0	0.0547792911529541
855944910.0	0.05878329277038574
849052626.0	0.0618138313293457
845733964.0	0.06678414344787598
835918263.0	0.07077980041503906
822229895.0	0.07381343841552734
817049691.0	0.07820844650268555
812835722.0	0.08120870590209961
810642433.0	0.08420920372009277
799661670.0	0.08820962905883789
782689350.0	0.09120774269104004
782689350.0	0.09421157836914062
768190433.0	0.09821128845214844
764258116.0	0.10220813751220703
759763158.0	0.10597705841064453
744440553.0	0.10997629165649414
736348897.0	0.11412811279296875
732567471.0	0.1181330680847168
726724021.0	0.1231236457824707
710349463.0	0.12712740898132324
705730295.0	0.1301257610321045
700465341.0	0.13612580299377441
697816946.0	0.14012455940246582
693613305.0	0.14412569999694824
688615663.0	0.1491258144378662
685595504.0	0.1521289348602295
681395760.0	0.15663981437683105
679171361.0	0.159637451171875
674979032.0	0.16363787651062012
674216074.0	0.16663813591003418
673053293.0	0.1706390380859375
671162061.0	0.17464041709899902
671162061.0	0.17763900756835938
669874073.0	0.1816399097442627
669874073.0	0.18463993072509766
669005703.0	0.18920445442199707
665160847.0	0.1932053565979004
665160847.0	0.1956472396850586
664307029.0	0.1996452808380127
664307029.0	0.2016463279724121
661242442.0	0.20564913749694824
659231404.0	0.20866060256958008
658661644.0	0.21164965629577637
656317013.0	0.21664738655090332
655641994.0	0.21967363357543945
655549537.0	0.22418785095214844
652788970.0	0.22864699363708496
646175680.0	0.23164701461791992
645068551.0	0.2361617088317871
639960730.0	0.2391822338104248
636680775.0	0.2421581745147705
634673303.0	0.24616074562072754
633985579.0	0.2491610050201416
633432272.0	0.2531588077545166
630063119.0	0.2561614513397217
630063119.0	0.25916385650634766
629933241.0	0.2641599178314209
625730559.0	0.26819658279418945
623666217.0	0.2727012634277344
623126038.0	0.2756795883178711
618681172.0	0.27967166900634766
