;acc;recall;precision;f1_score;specificity
0;0.6283987915407855;0.7228915662650602;0.6091370558375635;0.6611570247933884;0.7228915662650602
1;0.6163141993957704;0.6867469879518072;0.6031746031746031;0.6422535211267606;0.6867469879518072
2;0.622356495468278;0.6024096385542169;0.6289308176100629;0.6153846153846154;0.6024096385542169
3;0.5981873111782477;0.5481927710843374;0.610738255033557;0.5777777777777778;0.5481927710843374
4;0.6102719033232629;0.5903614457831325;0.6163522012578616;0.6030769230769231;0.5903614457831325
5;0.6042296072507553;0.536144578313253;0.6223776223776224;0.576051779935275;0.536144578313253
6;0.6163141993957704;0.5903614457831325;0.6242038216560509;0.6068111455108359;0.5903614457831325
7;0.6163141993957704;0.572289156626506;0.6291390728476821;0.5993690851735016;0.572289156626506
8;0.6132930513595166;0.5602409638554217;0.6283783783783784;0.5923566878980892;0.5602409638554217
9;0.6132930513595166;0.5542168674698795;0.6301369863013698;0.5897435897435898;0.5542168674698795
10;0.6163141993957704;0.5542168674698795;0.6344827586206897;0.5916398713826366;0.5542168674698795
11;0.6102719033232629;0.5481927710843374;0.6275862068965518;0.5852090032154341;0.5481927710843374
12;0.6132930513595166;0.5481927710843374;0.6319444444444444;0.5870967741935484;0.5481927710843374
13;0.6102719033232629;0.5421686746987951;0.6293706293706294;0.5825242718446603;0.5421686746987951
14;0.6132930513595166;0.5421686746987951;0.6338028169014085;0.5844155844155844;0.5421686746987951
15;0.6132930513595166;0.5301204819277109;0.6376811594202898;0.5789473684210525;0.5301204819277109
16;0.6102719033232629;0.5240963855421686;0.635036496350365;0.5742574257425742;0.5240963855421686
17;0.6072507552870091;0.5180722891566265;0.6323529411764706;0.5695364238410596;0.5180722891566265
18;0.6072507552870091;0.5180722891566265;0.6323529411764706;0.5695364238410596;0.5180722891566265
19;0.6102719033232629;0.5180722891566265;0.6370370370370371;0.5714285714285715;0.5180722891566265
20;0.6072507552870091;0.5180722891566265;0.6323529411764706;0.5695364238410596;0.5180722891566265
21;0.6132930513595166;0.5240963855421686;0.6397058823529411;0.576158940397351;0.5240963855421686
22;0.6012084592145015;0.5060240963855421;0.6268656716417911;0.5599999999999999;0.5060240963855421
23;0.622356495468278;0.5481927710843374;0.6453900709219859;0.5928338762214984;0.5481927710843374
24;0.6253776435045317;0.5481927710843374;0.65;0.5947712418300654;0.5481927710843374
25;0.6132930513595166;0.5481927710843374;0.6319444444444444;0.5870967741935484;0.5481927710843374
26;0.622356495468278;0.536144578313253;0.6496350364963503;0.5874587458745875;0.536144578313253
27;0.6163141993957704;0.5301204819277109;0.6423357664233577;0.5808580858085809;0.5301204819277109
28;0.6163141993957704;0.5240963855421686;0.6444444444444445;0.5780730897009967;0.5240963855421686
29;0.6132930513595166;0.5240963855421686;0.6397058823529411;0.576158940397351;0.5240963855421686
