;acc;recall;precision;f1_score;specificity
0;0.5830815709969789;0.6325301204819277;0.5769230769230769;0.6034482758620688;0.5333333333333333
1;0.5861027190332326;0.5783132530120482;0.588957055214724;0.5835866261398177;0.593939393939394
2;0.56797583081571;0.5421686746987951;0.5732484076433121;0.5572755417956656;0.593939393939394
3;0.5740181268882175;0.6265060240963856;0.5683060109289617;0.5959885386819485;0.5212121212121212
4;0.56797583081571;0.5421686746987951;0.5732484076433121;0.5572755417956656;0.593939393939394
5;0.5317220543806647;0.3795180722891566;0.5478260869565217;0.44839857651245546;0.6848484848484848
6;0.5589123867069486;0.4879518072289157;0.5704225352112676;0.525974025974026;0.6303030303030303
7;0.5861027190332326;0.6144578313253012;0.5828571428571429;0.5982404692082112;0.5575757575757576
8;0.5377643504531722;0.37349397590361444;0.5585585585585585;0.447653429602888;0.703030303030303
9;0.5619335347432024;0.5120481927710844;0.5704697986577181;0.5396825396825398;0.6121212121212121
10;0.552870090634441;0.5180722891566265;0.5584415584415584;0.5375000000000001;0.5878787878787879
11;0.5619335347432024;0.6024096385542169;0.5586592178770949;0.5797101449275363;0.5212121212121212
12;0.5377643504531722;0.4397590361445783;0.5488721804511278;0.4882943143812709;0.6363636363636364
13;0.5347432024169184;0.46987951807228917;0.5416666666666666;0.503225806451613;0.6
14;0.5468277945619335;0.536144578313253;0.5493827160493827;0.5426829268292682;0.5575757575757576
15;0.5287009063444109;0.3674698795180723;0.5446428571428571;0.43884892086330934;0.6909090909090909
16;0.525679758308157;0.463855421686747;0.5310344827586206;0.49517684887459806;0.5878787878787879
17;0.5438066465256798;0.5843373493975904;0.5418994413407822;0.5623188405797102;0.503030303030303
18;0.540785498489426;0.5301204819277109;0.5432098765432098;0.5365853658536586;0.5515151515151515
19;0.5377643504531722;0.46987951807228917;0.5454545454545454;0.5048543689320387;0.6060606060606061
20;0.540785498489426;0.5602409638554217;0.5406976744186046;0.5502958579881656;0.5212121212121212
21;0.5619335347432024;0.5903614457831325;0.56;0.5747800586510264;0.5333333333333333
22;0.552870090634441;0.6385542168674698;0.5463917525773195;0.5888888888888889;0.4666666666666667
23;0.5649546827794562;0.5662650602409639;0.5662650602409639;0.5662650602409639;0.5636363636363636
24;0.540785498489426;0.4578313253012048;0.5507246376811594;0.5;0.6242424242424243
25;0.5649546827794562;0.6626506024096386;0.5555555555555556;0.6043956043956045;0.4666666666666667
26;0.5619335347432024;0.6325301204819277;0.5555555555555556;0.5915492957746478;0.4909090909090909
27;0.5468277945619335;0.5421686746987951;0.5487804878048781;0.5454545454545454;0.5515151515151515
28;0.552870090634441;0.5783132530120482;0.5517241379310345;0.5647058823529413;0.5272727272727272
29;0.5619335347432024;0.5602409638554217;0.5636363636363636;0.5619335347432024;0.5636363636363636
