;acc;recall;precision;f1_score;specificity
0;0.4471299093655589;0.6385542168674698;0.462882096069869;0.5367088607594938;0.2545454545454545
1;0.44410876132930516;0.6325301204819277;0.4605263157894737;0.532994923857868;0.2545454545454545
2;0.4471299093655589;0.6506024096385542;0.463519313304721;0.5413533834586466;0.24242424242424243
3;0.4471299093655589;0.6506024096385542;0.463519313304721;0.5413533834586466;0.24242424242424243
4;0.44410876132930516;0.6325301204819277;0.4605263157894737;0.532994923857868;0.2545454545454545
5;0.4501510574018127;0.6566265060240963;0.4658119658119658;0.545;0.24242424242424243
6;0.4501510574018127;0.6566265060240963;0.4658119658119658;0.545;0.24242424242424243
7;0.4471299093655589;0.6445783132530121;0.46320346320346323;0.5390428211586902;0.24848484848484848
8;0.4501510574018127;0.6506024096385542;0.46551724137931033;0.5427135678391959;0.24848484848484848
9;0.4501510574018127;0.6566265060240963;0.4658119658119658;0.545;0.24242424242424243
10;0.4471299093655589;0.6506024096385542;0.463519313304721;0.5413533834586466;0.24242424242424243
11;0.4501510574018127;0.6566265060240963;0.4658119658119658;0.545;0.24242424242424243
12;0.4501510574018127;0.6566265060240963;0.4658119658119658;0.545;0.24242424242424243
13;0.4501510574018127;0.6566265060240963;0.4658119658119658;0.545;0.24242424242424243
14;0.4471299093655589;0.6746987951807228;0.46473029045643155;0.5503685503685503;0.21818181818181817
15;0.44410876132930516;0.6506024096385542;0.46153846153846156;0.54;0.23636363636363636
16;0.44410876132930516;0.6325301204819277;0.4605263157894737;0.532994923857868;0.2545454545454545
17;0.4471299093655589;0.6506024096385542;0.463519313304721;0.5413533834586466;0.24242424242424243
18;0.4471299093655589;0.6506024096385542;0.463519313304721;0.5413533834586466;0.24242424242424243
19;0.4471299093655589;0.6626506024096386;0.4641350210970464;0.5459057071960298;0.23030303030303031
20;0.44410876132930516;0.6445783132530121;0.46120689655172414;0.5376884422110553;0.24242424242424243
21;0.4471299093655589;0.6445783132530121;0.46320346320346323;0.5390428211586902;0.24848484848484848
22;0.459214501510574;0.6987951807228916;0.47346938775510206;0.5644768856447688;0.21818181818181817
23;0.4471299093655589;0.6445783132530121;0.46320346320346323;0.5390428211586902;0.24848484848484848
24;0.4501510574018127;0.6746987951807228;0.4666666666666667;0.5517241379310345;0.22424242424242424
25;0.45317220543806647;0.6686746987951807;0.46835443037974683;0.5508684863523574;0.23636363636363636
26;0.4501510574018127;0.6566265060240963;0.4658119658119658;0.545;0.24242424242424243
27;0.459214501510574;0.7168674698795181;0.47410358565737054;0.5707434052757794;0.2
28;0.45317220543806647;0.6686746987951807;0.46835443037974683;0.5508684863523574;0.23636363636363636
29;0.45317220543806647;0.6686746987951807;0.46835443037974683;0.5508684863523574;0.23636363636363636
